DateTime,AddedIPs,RemovedIPs
1600354856,1,30
1600356757,1,32
1600358658,0,55
1600360595,1,15
1600362536,1,29
1600366336,3,20
1600368291,3,10
1600370206,3,2
1600372104,3,0
1600374075,2,4
1600375981,0,3
1600379826,5,6
1600381686,1,2
1600384596,2,4
1600386499,1,0
1600388440,0,1
1600390390,1,3
1600392284,2,2
1600394244,2,1
1600396127,7,2
1600398977,3,2
1600400913,4,5
1600402835,1,1
1600404730,0,5
1600406651,1,3
1600408603,1,3
1600410487,0,5
1600412452,2,1
1600414357,2,1
1600416251,1,3
1600418169,0,1
1600420117,2,1
1600422014,4,1
1600424175,1,1
1600426090,5,2
1600428009,0,2
1600429931,0,1
1600431878,3,0
1600433775,5,2
1600435935,2,4
1600437850,2,4
1600439797,4,7
1600441701,6,11
1600443608,12,6
1600445556,6,5
1600447449,6,3
1600453207,2,0
1600455128,0,2
1600457074,1,2
1600458974,2,4
1600460912,3,2
1600462829,2,1
1600464732,3,0
1600466651,1,1
1600468592,2,1
1600470495,2,0
1600472302,0,1
1600474345,6,1
1600476274,1,1
1600478217,0,2
1600480100,1,1
1600482024,3,4
1600484017,1,3
1600485872,3,6
1600487792,1,3
1600489701,1,1
1600491637,2,1
1600493581,1,1
1600497426,0,1
1600499589,0,1
1600501483,2,0
1600503384,0,3
1600505321,3,2
1600507216,0,2
1600509148,3,3
1600511083,2,1
1600512991,3,1
1600514920,2,0
1600517847,2,1
1600519691,2,3
1600521607,1,6
1600523553,2,2
1600525447,5,2
1600527392,3,1
1600530997,3,20
1600532888,15,1
1600535775,3,0
1600537721,2,0
1600539647,3,0
1600543451,1,1
1600545402,3,1
1600547288,0,2
1600549232,2,4
1600551157,0,1
1600553070,2,1
1600555018,2,3
1600556899,1,1
1600558810,0,2
1600560765,3,8
1600562652,3,4
1600564579,2,0
1600568425,1,2
1600570356,1,1
1600572260,2,3
1600574170,2,1
1600576119,1,1
1600578025,0,2
1600579944,2,0
1600581903,2,0
1600583773,2,2
1600585724,1,0
1600588594,5,3
1600590486,1,1
1600593374,1,0
1600595326,4,5
1600597217,0,1
1600599134,0,2
1600601078,3,1
1600602973,3,3
1600604889,2,2
1600606854,1,2
1600608730,1,3
1600610701,3,6
1600612571,2,10
1600614510,6,14
1600616452,6,4
1600618337,4,5
1600620495,20,5
1600622412,4,1
1600624355,9,2
1600626583,1,1
1600629396,2,1
1600631288,8,1
1600633206,3,2
1600635152,0,3
1600637064,1,3
1600638982,1,0
1600640913,0,2
1600642831,2,3
1600644752,2,1
1600648086,1,6
1600650026,6,6
1600651956,2,0
1600653763,2,3
1600655915,4,0
1600658079,1,2
1600659901,4,1
1600661827,1,1
1600663712,1,1
1600665622,0,1
1600667527,2,2
1600669527,1,2
1600673305,4,0
1600675266,2,2
1600677152,2,2
1600679201,1,0
1600681229,4,1
1600683130,1,3
1600685048,1,0
1600687240,5,1
1600689144,2,7
1600691047,1,0
1600693009,0,2
1600694887,1,3
1600696855,2,3
1600698727,4,3
1600700685,4,6
1600702591,3,5
1600704519,3,18
1600706410,15,14
1600708353,2,8
1600710370,6,9
1600712435,9,0
1600714329,3,0
1600716246,4,2
1600718209,11,9
1600720086,6,2
1600722029,14,2
1600723962,4,0
1600725850,5,3
1600727769,1,0
1600729716,1,2
1600731607,4,0
1600733557,1,0
1600735449,1,0
1600737371,3,4
1600739288,3,2
1600741230,2,3
1600743154,0,1
1600745062,3,3
1600747004,2,5
1600748886,1,0
1600750826,2,2
1600752727,3,1
1600754690,2,2
1600756581,4,0
1600758515,2,0
1600760453,1,1
1600762364,2,2
1600764271,0,1
1600766214,0,1
1600768104,1,6
1600770046,0,9
1600771960,1,8
1600773880,2,5
1600775804,1,1
1600777730,1,2
1600779639,2,0
1600781591,3,1
1600783477,2,1
1600785398,0,2
1600787310,1,2
1600789212,3,1
1600791180,0,2
1600793073,0,1
1600794988,1,1
1600796943,1,1
1600798875,1,6
1600800789,1,0
1600802680,2,2
1600804605,0,3
1600806573,0,1
1600808460,0,1
1600810387,2,1
1600812540,1,2
1600814437,0,3
1600816354,2,0
1600818300,1,1
1600822106,2,2
1600824058,0,3
1600825976,2,3
1600829849,1,1
1600831689,1,1
1600833652,3,0
1600835608,1,0
1600837462,1,3
1600839420,3,3
1600843467,1,4
1600845383,4,4
1600847343,0,2
1600849258,2,1
1600851145,2,4
1600853081,0,2
1600855007,1,2
1600856930,3,1
1600858888,1,1
1600862196,4,9
1600864094,2,11
1600867002,9,11
1600868913,9,12
1600870806,7,21
1600872731,10,11
1600874660,19,5
1600876580,18,19
1600878512,19,2
1600880422,12,2
1600882325,17,1
1600884275,38,1
1600886171,23,1
1600888117,8,2
1600890012,11,2
1600891942,15,0
1600893878,0,1
1600895771,1,1
1600897688,2,1
1600900651,4,2
1600902524,1,3
1600904414,2,0
1600906366,4,1
1600908284,2,1
1600910168,1,1
1600912114,1,1
1600914013,2,1
1600917875,1,1
1600919796,2,3
1600921688,0,3
1600923653,3,1
1600925533,0,4
1600929610,1,1
1600931554,2,3
1600933456,1,1
1600935367,1,0
1600937314,1,0
1600939208,4,1
1600941131,0,2
1600943078,0,1
1600944972,3,0
1600946906,1,2
1600948866,1,1
1600950732,2,1
1600952894,1,4
1600954810,0,4
1600957014,2,3
1600958889,0,4
1600960832,2,4
1600962731,2,10
1600964664,0,14
1600966593,0,9
1600968489,0,14
1600970427,0,25
1600972359,1,24
1600974260,3,13
1600976192,1,9
1600978107,3,16
1600980006,2,1
1600981970,1,1
1600983855,2,3
